hour,hourly_actual_aqi,hourly_predicted_aqi,accuracy
2020-12-13 13:00:00,166.990832455216,217.03638,70.0309629204763
2020-12-13 16:00:00,179.58935721812435,246.99097,62.469040135331355
2020-12-13 17:00:00,178.6496311907271,449.6255,-51.680054016583995
2020-12-13 18:00:00,171.33835616438355,109.25569,63.76604396945388
2020-12-13 19:00:00,160.72771338250791,252.5014,42.90114100753853
2020-12-14 00:00:00,171.99926238145417,202.50977,82.2612592512864
2020-12-14 07:00:00,218.92531914893613,469.4069,-14.414163100888516
2020-12-14 08:00:00,229.4782978723404,415.06448,19.12691200390549
2020-12-14 16:00:00,108.84899082568808,216.89534,0.7373901029925065
2020-12-14 18:00:00,80.36804347826086,241.33112,-100.28243226791389
2020-12-14 19:00:00,449.7735156771181,291.29474,64.76476017735223
